Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
DeMarco Murray*,TEN,28,RB,16,16,293,1287,9,67,75,4.4,80.4,3
Todd Gurley,LAR,22,RB,16,16,278,885,6,49,24,3.2,55.3,2
Lamar Miller,HOU,25,RB,14,14,268,1073,5,55,45,4.0,76.6,2
Frank Gore,IND,33,RB,16,16,263,1025,4,50,22,3.9,64.1,2
Le'Veon Bell*,PIT,24,RB,12,12,261,1268,7,70,44,4.9,105.7,4
Jay Ajayi*,MIA,23,RB,15,12,260,1272,8,63,62,4.9,84.8,4
Melvin Gordon*,SDG,23,RB,13,11,254,997,10,62,48,3.9,76.7,2
Matt Forte,NYJ,31,RB,14,13,218,813,7,36,32,3.7,58.1,1
Carlos Hyde,SFO,26,RB,13,13,217,988,6,48,47,4.6,76.0,5
Spencer Ware,KAN,25,RB,14,14,214,921,3,50,46,4.3,65.8,4
Mark Ingram,NOR,27,RB,16,14,205,1043,6,50,75,5.1,65.2,2
Latavius Murray,OAK,26,RB,14,12,195,788,12,52,42,4.0,56.3,2
Rashad Jennings,NYG,31,RB,13,12,181,593,3,29,25,3.3,45.6,1
Devontae Booker,DEN,24,RB,16,6,174,612,4,31,18,3.5,38.3,4
Robert Kelley,WAS,24,RB,15,9,168,704,6,30,66,4.2,46.9,0
Jerick McKinnon,MIN,24,RB,15,7,159,539,2,21,36,3.4,35.9,0
Ryan Mathews,PHI,29,RB,13,8,155,661,8,40,30,4.3,50.8,3
Doug Martin,TAM,27,RB,8,8,144,421,3,24,17,2.9,52.6,1
Tim Hightower,NOR,30,RB,16,1,133,548,4,32,30,4.1,34.3,0
Bilal Powell,NYJ,28,RB,16,4,131,722,3,44,35,5.5,45.1,1
T.J. Yeldon,JAX,23,RB,15,13,130,465,1,21,16,3.6,31.0,2
Jacquizz Rodgers,TAM,26,RB,10,5,129,560,2,31,45,4.3,56.0,0
Matt Asiata,MIN,29,RB,16,6,121,402,6,28,29,3.3,25.1,1
Chris Ivory,JAX,28,RB,11,1,117,439,3,21,42,3.8,39.9,5
Paul Perkins,NYG,22,RB,14,1,112,456,0,24,22,4.1,32.6,1
C.J. Anderson,DEN,25,RB,7,7,110,437,4,23,28,4.0,62.4,0
Derrick Henry,TEN,22,RB,15,2,110,490,5,29,22,4.5,32.7,0
Thomas Rawls,SEA,23,RB,9,7,109,349,3,22,45,3.2,38.8,0
Alfred Blue,HOU,25,RB,14,2,100,420,1,23,25,4.2,30.0,2
Matt Jones,WAS,23,RB,7,7,99,460,3,28,57,4.6,65.7,3
DeAngelo Williams,PIT,33,RB,9,4,98,343,4,22,17,3.5,38.1,0
Darren Sproles*,PHI,33,RB,15,5,94,438,2,22,25,4.7,29.2,1
Theo Riddick,DET,25,RB,10,8,92,357,1,21,42,3.9,35.7,0
Dwayne Washington,DET,22,RB,12,2,90,265,1,11,28,2.9,22.1,0
Charcandrick West,KAN,25,RB,15,2,88,293,1,15,28,3.3,19.5,0
Zach Zenner,DET,25,RB,14,4,88,334,4,23,20,3.8,23.9,1
DeAndre Washington,OAK,23,RB,14,2,87,467,2,19,30,5.4,33.4,1
Jalen Richard,OAK,23,RB,16,0,83,491,1,15,75,5.9,30.7,0
Ty Montgomery,GNB,23,RB,15,6,77,457,3,20,61,5.9,30.5,2
Wendell Smallwood,PHI,22,RB,13,3,77,312,1,20,19,4.1,24.0,1
Shaun Draughn,SFO,29,RB,16,1,74,196,4,15,18,2.6,12.3,1
Russell Wilson,SEA,28,QB,16,16,72,259,1,18,18,3.6,16.2,8
Eddie Lacy,GNB,26,RB,5,5,71,360,0,15,31,5.1,72.0,0
Colin Kaepernick,SFO,29,QB,12,11,69,468,2,29,30,6.8,39.0,9
Chris Thompson,WAS,26,RB,16,0,68,356,3,16,25,5.2,22.3,2
Aaron Rodgers*,GNB,33,QB,16,16,67,369,4,26,23,5.5,23.1,8
Andrew Luck,IND,27,QB,15,15,64,341,2,20,33,5.3,22.7,6
James Starks,GNB,30,RB,9,4,63,145,0,9,11,2.3,16.1,1
Kenneth Farrow,SDG,23,RB,13,2,60,192,0,11,11,3.2,14.8,2
Marcus Mariota,TEN,23,QB,15,15,60,349,2,22,41,5.8,23.3,10
Blake Bortles,JAX,24,QB,16,16,58,359,3,20,27,6.2,22.4,8
Peyton Barber,TAM,22,RB,15,1,55,223,1,10,44,4.1,14.9,0
Jameis Winston,TAM,22,QB,16,16,53,165,1,13,14,3.1,10.3,10
Charles Sims,TAM,26,RB,7,2,51,149,1,6,23,2.9,21.3,1
Alex Smith*,KAN,32,QB,15,15,48,134,5,11,24,2.8,8.9,7
Robert Turbin,IND,27,RB,15,0,47,164,7,20,18,3.5,10.9,0
Carson Wentz,PHI,24,QB,16,16,46,150,2,17,17,3.3,9.4,14
Blaine Gabbert,SFO,27,QB,6,5,40,173,2,16,24,4.3,28.8,0
Derek Carr*,OAK,25,QB,15,15,39,70,0,5,13,1.8,4.7,5
Ryan Tannehill,MIA,28,QB,13,13,39,164,1,11,18,4.2,12.6,9
DuJuan Harris,SFO,28,RB,10,1,38,138,0,6,19,3.6,13.8,2
Adrian Peterson,MIN,31,RB,3,3,37,72,0,3,13,1.9,24.0,1
Matthew Stafford,DET,28,QB,16,16,37,207,2,16,24,5.6,12.9,3
Damien Williams,MIA,24,RB,15,0,35,115,3,9,23,3.3,7.7,1
Kirk Cousins*,WAS,28,QB,16,16,34,96,4,14,19,2.8,6.0,9
Aaron Ripkowski,GNB,24,RB,16,8,34,150,2,12,15,4.4,9.4,0
Kenyan Drake,MIA,22,RB,16,1,33,179,2,9,45,5.4,11.2,1
Ryan Fitzpatrick,NYJ,34,QB,14,11,33,130,0,7,14,3.9,9.3,9
Shane Vereen,NYG,27,RB,5,1,33,158,1,9,25,4.8,31.6,2
Corey Grant,JAX,25,RB,11,1,32,164,1,7,57,5.1,14.9,0
Alex Collins,SEA,22,RB,11,0,31,125,1,8,26,4.0,11.4,2
Orleans Darkwa,NYG,24,RB,10,2,30,111,2,7,17,3.7,11.1,0
Brock Osweiler,HOU,26,QB,15,14,30,131,2,14,21,4.4,8.7,5
C.J. Prosise,SEA,22,RB,6,2,30,172,1,4,72,5.7,28.7,0
Kapri Bibbs,DEN,23,RB,12,0,29,129,0,7,24,4.4,10.8,0
Trevor Siemian,DEN,25,QB,14,14,28,57,0,6,14,2.0,4.1,4
Kenjon Barner,PHI,27,RB,13,0,27,129,2,9,19,4.8,9.9,0
Drew Brees*,NOR,37,QB,16,16,23,20,2,7,7,0.9,1.3,5
Jonathan Grimes,HOU,27,RB,10,0,23,105,0,6,14,4.6,10.5,0
Arian Foster,MIA,30,RB,4,2,22,55,0,3,9,2.5,13.8,1
Benny Cunningham,LAR,26,RB,11,0,21,101,0,4,24,4.8,9.2,1
Eli Manning,NYG,35,QB,16,16,21,-9,0,2,6,-0.4,-0.6,7
Sam Bradford,MIN,29,QB,15,15,20,53,0,3,24,2.7,3.5,10
Akeem Hunt,HOU,23,RB,8,0,20,109,0,5,19,5.5,13.6,2
Case Keenum,LAR,28,QB,10,9,20,51,1,8,13,2.6,5.1,5
Byron Marshall,PHI,22,RB,3,0,19,64,0,6,12,3.4,21.3,0
Danny Woodhead,SDG,31,RB,2,1,19,116,0,6,23,6.1,58.0,0
Ameer Abdullah,DET,23,RB,2,2,18,101,0,6,24,5.6,50.5,0
Malcolm Brown,LAR,23,RB,16,0,18,39,0,1,10,2.2,2.4,1
Andre Williams,SDG,24,RB,1,0,18,87,0,6,14,4.8,87.0,0
Jamize Olawale,OAK,27,RB,16,7,17,47,2,5,17,2.8,2.9,0
Bobby Rainey,NYG,29,RB,15,0,17,63,0,4,14,3.7,4.2,1
Ben Roethlisberger*,PIT,34,QB,14,14,16,14,1,3,14,0.9,1.0,8
Josh Ferguson,IND,23,RB,16,0,15,20,0,0,11,1.3,1.3,1
Philip Rivers*,SDG,35,QB,16,16,14,35,0,3,10,2.5,2.2,9
Fitzgerald Toussaint,PIT,26,RB,16,0,14,58,0,2,16,4.1,3.6,0
Jamaal Charles,KAN,30,RB,3,0,12,40,1,3,17,3.3,13.3,0
Daniel Lasco,NOR,24,RB,7,0,11,32,0,1,6,2.9,4.6,0
Paxton Lynch,DEN,22,QB,3,2,11,25,0,1,10,2.3,8.3,2
Don Jackson,GNB,23,RB,3,1,10,32,0,1,7,3.2,10.7,0
Antone Smith,TAM,31,RB,3,0,10,47,0,2,8,4.7,15.7,2
Brandon Wilds,NYJ,23,RB,4,0,10,27,0,1,6,2.7,6.8,0
Jordan Todman,IND,26,RB,16,0,9,59,0,3,19,6.6,3.7,0
Terrell Watson,PHI,23,RB,1,0,9,28,1,2,8,3.1,28.0,0
Trevone Boykin,SEA,23,QB,5,0,8,1,0,1,11,0.1,0.2,1
Jared Goff,LAR,22,QB,7,7,8,16,1,1,6,2.0,2.3,5
Isaiah Pead,MIA,27,RB,3,0,8,22,0,0,4,2.8,7.3,0
Khiry Robinson,NYJ,27,RB,1,0,8,22,0,1,10,2.8,22.0,1
Juwan Thompson,DEN,24,RB,8,1,8,26,1,2,14,3.3,3.3,0
Zach Line,MIN,26,RB,15,4,7,15,0,3,5,2.1,1.0,0
Landry Jones,PIT,27,QB,8,2,6,-4,0,0,0,-0.7,-0.5,0
Tom Savage,HOU,26,QB,3,2,6,12,0,2,11,2.0,4.0,1
Scott Tolzien,IND,29,QB,3,1,6,3,0,0,5,0.5,1.0,1
Shaun Hill,MIN,36,QB,3,1,5,5,0,0,9,1.0,1.7,0
Bryce Petty,NYJ,25,QB,6,4,5,19,0,1,9,3.8,3.2,1
Travaris Cadet,NOR,27,RB,15,1,4,19,0,1,16,4.8,1.3,0
Matt Cassel,TEN,34,QB,4,1,4,3,0,0,3,0.8,0.8,1
Nick Foles,KAN,27,QB,3,1,4,-4,0,0,-1,-1.0,-1.3,0
Mike James,TAM,25,RB,4,0,4,19,0,1,9,4.8,4.8,0
Andy Janovich,DEN,23,RB,11,5,4,33,1,2,28,8.3,3.0,0
Jay Prosch,HOU,24,RB,15,1,4,9,0,3,5,2.3,0.6,0
De'Anthony Thomas,KAN,23,RB,12,0,4,29,0,1,23,7.3,2.4,0
Brett Hundley,GNB,23,QB,4,0,3,-2,0,0,0,-0.7,-0.5,1
Terrence Magee,SEA,23,RB,2,0,3,12,0,0,5,4.0,6.0,0
Matt McGloin,OAK,27,QB,3,1,3,-3,0,0,-1,-1.0,-1.0,0
Antonio Andrews,TEN,24,RB,16,0,2,15,0,0,9,7.5,0.9,0
Joe Banyard,JAX,28,RB,1,0,2,7,0,0,7,3.5,7.0,0
Brandon Burks,NYJ,23,RB,1,0,2,-4,0,0,1,-2.0,-4.0,0
Kellen Clemens,SDG,33,QB,12,0,2,-1,0,0,0,-0.5,-0.1,0
Bronson Hill,JAX,23,RB,3,0,2,11,0,0,7,5.5,3.7,0
Marquette King,OAK,28,P,16,0,2,27,0,0,27,13.5,1.7,1
Daryl Richardson,PIT,26,RB,3,0,2,7,0,0,6,3.5,2.3,0
Jon Ryan,SEA,35,P,16,0,2,26,0,1,26,13.0,1.6,3
Geno Smith,NYJ,26,QB,2,1,2,9,0,1,7,4.5,4.5,1
Derek Watt,SDG,24,RB,16,2,2,4,0,2,2,2.0,0.3,0
Jordan Berry,PIT,25,P,16,0,1,-3,0,0,-3,-3.0,-0.2,1
Matt Darr,MIA,24,P,16,0,1,0,0,0,0,0.0,0.0,2
Lac Edwards,NYJ,24,P,16,0,1,0,0,0,0,0.0,0.0,1
Tyler Ervin,HOU,23,RB,12,0,1,3,0,0,3,3.0,0.3,3
Jalston Fowler,TEN,26,RB,16,6,1,3,0,0,3,3.0,0.2,0
Chad Henne,JAX,31,QB,1,0,1,-2,0,0,-2,-2.0,-2.0,0
Donnie Jones,PHI,36,P,16,0,1,0,0,0,0,0.0,0.0,1
Taiwan Jones,OAK,28,RB,13,0,1,-8,0,0,-8,-8.0,-0.6,0
Drew Kaser,SDG,23,P,16,0,1,0,0,0,0,0.0,0.0,1
Joe Kerridge,GNB,24,RB,8,0,1,0,0,0,0,0.0,0.0,0
Sean Mannion,LAR,24,QB,1,0,1,-1,0,0,-1,-1.0,-1.0,1
Pat McAfee*,IND,29,K,16,0,1,0,0,0,0,0.0,0.0,0
Brandon McManus,DEN,25,K,16,0,1,6,0,0,6,6.0,0.4,0
Matt Moore,MIA,32,QB,4,3,1,-1,0,0,-1,-1.0,-0.3,1
Dontari Poe,KAN,26,NT,16,16,1,1,1,1,1,1.0,0.1,0
